

软件版本	3.11.19



实验文件路径:	C:\Users\inlab\Desktop\AuNSs400-800.xpt
方案文件路径:	



板编号	板 7
日期	2023/7/18
时间	19:00:07
检测仪类型:	Epoch 2
检测仪序列号:	2205170B
检测类型	检测仪

程序详细信息

板类型	96 WELL PLATE
完成后弹出板	
检测	吸收光 光谱
	A1..A6
	开始: 400 nm,  停止: 800 nm,  步骤: 1 nm
	检测前校准
	检测速度: 正常,  延迟: 100 msec,  测量值/数据点: 8

Spectrum

波长	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10	A11	A12	B1	B2	B3	B4	B5	B6	B7	B8	B9	B10	B11	B12	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	D1	D2	D3	D4	D5	D6	D7	D8	D9	D10	D11	D12	E1	E2	E3	E4	E5	E6	E7	E8	E9	E10	E11	E12	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10	F11	F12	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	H1	H2	H3	H4	H5	H6	H7	H8	H9	H10	H11	H12
483	0.549	0.498	0.463	0.374	0.401	0.141																																																																																										
484	0.551	0.500	0.465	0.376	0.403	0.141																																																																																										
485	0.553	0.503	0.467	0.378	0.405	0.142																																																																																										
486	0.556	0.506	0.469	0.380	0.407	0.142																																																																																										
487	0.561	0.510	0.473	0.383	0.410	0.142																																																																																										
488	0.565	0.513	0.476	0.385	0.412	0.142																																																																																										
489	0.569	0.517	0.480	0.388	0.415	0.142																																																																																										
490	0.574	0.522	0.484	0.392	0.419	0.142																																																																																										
491	0.581	0.528	0.489	0.396	0.423	0.142																																																																																										
492	0.586	0.533	0.494	0.400	0.427	0.142																																																																																										
493	0.591	0.538	0.499	0.404	0.431	0.143																																																																																										
494	0.598	0.545	0.504	0.408	0.436	0.143																																																																																										
495	0.607	0.552	0.512	0.414	0.442	0.143																																																																																										
496	0.618	0.562	0.520	0.421	0.449	0.143																																																																																										
497	0.626	0.570	0.527	0.427	0.455	0.143																																																																																										
498	0.635	0.578	0.535	0.433	0.461	0.144																																																																																										
499	0.643	0.586	0.543	0.439	0.467	0.144																																																																																										
500	0.653	0.596	0.551	0.446	0.474	0.144																																																																																										
501	0.665	0.607	0.561	0.453	0.482	0.144																																																																																										
502	0.677	0.618	0.572	0.462	0.491	0.145																																																																																										
503	0.690	0.629	0.582	0.470	0.499	0.145																																																																																										
504	0.704	0.642	0.594	0.480	0.508	0.146																																																																																										
505	0.717	0.655	0.605	0.489	0.517	0.146																																																																																										
506	0.731	0.667	0.617	0.497	0.527	0.147																																																																																										
507	0.746	0.681	0.629	0.508	0.536	0.147																																																																																										
508	0.763	0.697	0.644	0.519	0.548	0.147																																																																																										
509	0.779	0.712	0.657	0.530	0.558	0.148																																																																																										
510	0.797	0.729	0.672	0.542	0.570	0.149																																																																																										
511	0.814	0.744	0.686	0.553	0.581	0.149																																																																																										
512	0.833	0.761	0.702	0.566	0.594	0.150																																																																																										
513	0.850	0.777	0.717	0.577	0.605	0.150																																																																																										
514	0.869	0.795	0.732	0.589	0.617	0.151																																																																																										
515	0.887	0.811	0.747	0.601	0.628	0.151																																																																																										
516	0.904	0.826	0.761	0.612	0.639	0.152																																																																																										
517	0.925	0.846	0.779	0.625	0.653	0.152																																																																																										
518	0.944	0.863	0.794	0.637	0.665	0.153																																																																																										
519	0.962	0.879	0.809	0.649	0.676	0.153																																																																																										
520	0.978	0.894	0.823	0.659	0.686	0.154																																																																																										
521	0.996	0.910	0.837	0.670	0.697	0.154																																																																																										
522	1.015	0.927	0.852	0.681	0.708	0.155																																																																																										
523	1.034	0.944	0.868	0.693	0.720	0.155																																																																																										
524	1.052	0.960	0.882	0.703	0.730	0.156																																																																																										
525	1.069	0.975	0.895	0.713	0.740	0.156																																																																																										
526	1.085	0.989	0.907	0.722	0.749	0.157																																																																																										
527	1.097	1.000	0.917	0.729	0.755	0.157																																																																																										
528	1.109	1.011	0.926	0.736	0.762	0.158																																																																																										
529	1.118	1.019	0.933	0.740	0.767	0.158																																																																																										
530	1.126	1.026	0.939	0.744	0.771	0.159																																																																																										
531	1.133	1.032	0.945	0.748	0.774	0.159																																																																																										
532	1.142	1.039	0.951	0.751	0.777	0.159																																																																																										
533	1.148	1.044	0.954	0.752	0.779	0.160																																																																																										
534	1.151	1.046	0.956	0.753	0.779	0.160																																																																																										
535	1.153	1.047	0.956	0.752	0.778	0.161																																																																																										
536	1.153	1.047	0.955	0.750	0.776	0.161																																																																																										
537	1.151	1.045	0.952	0.746	0.773	0.161																																																																																										
538	1.148	1.041	0.949	0.743	0.769	0.162																																																																																										
539	1.142	1.035	0.943	0.737	0.763	0.162																																																																																										
540	1.136	1.028	0.936	0.730	0.757	0.162																																																																																										
541	1.129	1.021	0.929	0.724	0.751	0.162																																																																																										
542	1.120	1.014	0.922	0.718	0.745	0.163																																																																																										
543	1.111	1.005	0.913	0.710	0.738	0.163																																																																																										
544	1.099	0.994	0.903	0.701	0.729	0.163																																																																																										
545	1.085	0.981	0.891	0.691	0.719	0.164																																																																																										
546	1.071	0.968	0.879	0.680	0.709	0.164																																																																																										
547	1.057	0.955	0.866	0.671	0.699	0.164																																																																																										
548	1.041	0.941	0.853	0.660	0.689	0.164																																																																																										
549	1.029	0.929	0.843	0.651	0.680	0.164																																																																																										
550	1.012	0.913	0.828	0.640	0.668	0.165																																																																																										
551	0.994	0.897	0.813	0.628	0.657	0.165																																																																																										
552	0.976	0.881	0.798	0.616	0.645	0.165																																																																																										
553	0.960	0.866	0.784	0.606	0.635	0.165																																																																																										
554	0.942	0.851	0.769	0.594	0.624	0.166																																																																																										
555	0.925	0.836	0.756	0.584	0.614	0.166																																																																																										
556	0.908	0.819	0.741	0.572	0.602	0.166																																																																																										
557	0.890	0.803	0.726	0.561	0.591	0.166																																																																																										
558	0.871	0.785	0.710	0.548	0.579	0.166																																																																																										
559	0.854	0.769	0.695	0.537	0.568	0.166																																																																																										
560	0.835	0.753	0.680	0.526	0.557	0.166																																																																																										
561	0.818	0.738	0.667	0.515	0.546	0.167																																																																																										
562	0.804	0.725	0.655	0.507	0.538	0.167																																																																																										
563	0.789	0.711	0.643	0.498	0.529	0.167																																																																																										
564	0.774	0.697	0.630	0.488	0.520	0.167																																																																																										
565	0.757	0.681	0.616	0.477	0.509	0.167																																																																																										
566	0.742	0.669	0.604	0.469	0.500	0.167																																																																																										
567	0.727	0.655	0.592	0.460	0.492	0.167																																																																																										
568	0.712	0.642	0.580	0.451	0.483	0.167																																																																																										
569	0.697	0.629	0.569	0.442	0.474	0.167																																																																																										
570	0.683	0.617	0.558	0.434	0.467	0.167																																																																																										
571	0.669	0.604	0.546	0.425	0.458	0.167																																																																																										
572	0.654	0.591	0.534	0.417	0.450	0.167																																																																																										
573	0.642	0.580	0.525	0.409	0.442	0.167																																																																																										
574	0.630	0.568	0.515	0.402	0.435	0.167																																																																																										
575	0.618	0.558	0.506	0.395	0.429	0.167																																																																																										
576	0.607	0.548	0.497	0.389	0.422	0.168																																																																																										
577	0.594	0.537	0.487	0.381	0.415	0.168																																																																																										
578	0.583	0.527	0.478	0.374	0.408	0.168																																																																																										
579	0.571	0.516	0.469	0.367	0.402	0.168																																																																																										
580	0.559	0.506	0.460	0.361	0.395	0.168																																																																																										
581	0.549	0.496	0.451	0.354	0.389	0.168																																																																																										
582	0.538	0.487	0.443	0.348	0.383	0.168																																																																																										
583	0.528	0.478	0.434	0.342	0.377	0.168																																																																																										
584	0.517	0.469	0.426	0.336	0.371	0.168																																																																																										
585	0.507	0.460	0.418	0.330	0.365	0.168																																																																																										
586	0.498	0.451	0.410	0.325	0.360	0.168																																																																																										
587	0.488	0.442	0.403	0.319	0.354	0.168																																																																																										
588	0.480	0.434	0.396	0.314	0.349	0.168																																																																																										
589	0.471	0.427	0.389	0.309	0.345	0.168																																																																																										
590	0.465	0.421	0.384	0.305	0.341	0.168																																																																																										
591	0.456	0.413	0.377	0.301	0.336	0.168																																																																																										
592	0.448	0.406	0.370	0.296	0.332	0.168																																																																																										
593	0.440	0.400	0.365	0.292	0.328	0.168																																																																																										
594	0.433	0.393	0.359	0.287	0.323	0.168																																																																																										
