

软件版本	3.11.19



实验文件路径:	C:\Users\inlab\Desktop\AuNSs400-800.xpt
方案文件路径:	



板编号	板 6
日期	2023/7/18
时间	14:18:41
检测仪类型:	Epoch 2
检测仪序列号:	2205170B
检测类型	检测仪

程序详细信息

板类型	96 WELL PLATE
完成后弹出板	
检测	吸收光 光谱
	A1..A6
	开始: 400 nm,  停止: 800 nm,  步骤: 1 nm
	检测前校准
	检测速度: 正常,  延迟: 100 msec,  测量值/数据点: 8

Spectrum

波长	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10	A11	A12	B1	B2	B3	B4	B5	B6	B7	B8	B9	B10	B11	B12	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	D1	D2	D3	D4	D5	D6	D7	D8	D9	D10	D11	D12	E1	E2	E3	E4	E5	E6	E7	E8	E9	E10	E11	E12	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10	F11	F12	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	H1	H2	H3	H4	H5	H6	H7	H8	H9	H10	H11	H12
400	0.889	0.837	0.803	0.887	0.825	0.890																																																																																										
401	0.888	0.836	0.803	0.886	0.824	0.889																																																																																										
402	0.887	0.835	0.801	0.884	0.823	0.887																																																																																										
403	0.886	0.834	0.800	0.883	0.822	0.886																																																																																										
404	0.885	0.833	0.799	0.881	0.821	0.885																																																																																										
405	0.884	0.832	0.798	0.880	0.820	0.883																																																																																										
406	0.883	0.831	0.797	0.879	0.819	0.882																																																																																										
407	0.882	0.830	0.796	0.878	0.818	0.881																																																																																										
408	0.881	0.829	0.795	0.876	0.817	0.880																																																																																										
409	0.880	0.828	0.794	0.875	0.815	0.878																																																																																										
410	0.879	0.827	0.793	0.873	0.814	0.877																																																																																										
411	0.878	0.825	0.792	0.872	0.813	0.876																																																																																										
412	0.877	0.824	0.791	0.871	0.812	0.874																																																																																										
413	0.876	0.823	0.790	0.869	0.810	0.873																																																																																										
414	0.875	0.822	0.789	0.868	0.809	0.871																																																																																										
415	0.874	0.821	0.788	0.867	0.808	0.870																																																																																										
416	0.873	0.820	0.787	0.865	0.807	0.869																																																																																										
417	0.871	0.819	0.785	0.864	0.805	0.867																																																																																										
418	0.870	0.817	0.784	0.862	0.804	0.866																																																																																										
419	0.869	0.816	0.783	0.861	0.803	0.864																																																																																										
420	0.868	0.815	0.782	0.859	0.802	0.863																																																																																										
421	0.867	0.814	0.781	0.858	0.800	0.862																																																																																										
422	0.866	0.813	0.780	0.857	0.800	0.861																																																																																										
423	0.865	0.812	0.779	0.856	0.798	0.859																																																																																										
424	0.864	0.811	0.778	0.854	0.797	0.858																																																																																										
425	0.863	0.810	0.777	0.853	0.796	0.857																																																																																										
426	0.862	0.809	0.776	0.852	0.795	0.856																																																																																										
427	0.861	0.808	0.775	0.851	0.794	0.854																																																																																										
428	0.859	0.807	0.774	0.849	0.793	0.853																																																																																										
429	0.858	0.805	0.772	0.848	0.792	0.852																																																																																										
430	0.857	0.804	0.772	0.846	0.790	0.850																																																																																										
431	0.856	0.803	0.770	0.845	0.789	0.849																																																																																										
432	0.855	0.802	0.769	0.843	0.788	0.847																																																																																										
433	0.853	0.801	0.768	0.842	0.787	0.846																																																																																										
434	0.852	0.799	0.767	0.840	0.785	0.845																																																																																										
435	0.851	0.798	0.765	0.839	0.784	0.843																																																																																										
436	0.850	0.797	0.764	0.838	0.783	0.842																																																																																										
437	0.848	0.795	0.762	0.836	0.781	0.840																																																																																										
438	0.847	0.794	0.761	0.834	0.780	0.839																																																																																										
439	0.845	0.793	0.760	0.833	0.779	0.838																																																																																										
440	0.844	0.791	0.759	0.832	0.778	0.836																																																																																										
441	0.843	0.790	0.757	0.830	0.776	0.835																																																																																										
442	0.841	0.789	0.756	0.829	0.775	0.834																																																																																										
443	0.840	0.788	0.755	0.827	0.774	0.832																																																																																										
444	0.839	0.786	0.754	0.826	0.773	0.831																																																																																										
445	0.837	0.785	0.753	0.825	0.772	0.829																																																																																										
446	0.836	0.784	0.751	0.823	0.770	0.828																																																																																										
447	0.835	0.783	0.750	0.822	0.769	0.827																																																																																										
448	0.833	0.782	0.749	0.821	0.768	0.826																																																																																										
449	0.832	0.780	0.748	0.819	0.767	0.824																																																																																										
450	0.831	0.779	0.747	0.818	0.766	0.823																																																																																										
451	0.830	0.778	0.746	0.816	0.765	0.822																																																																																										
452	0.828	0.777	0.745	0.815	0.764	0.821																																																																																										
453	0.827	0.776	0.744	0.814	0.763	0.819																																																																																										
454	0.826	0.775	0.743	0.813	0.762	0.818																																																																																										
455	0.825	0.774	0.742	0.812	0.761	0.817																																																																																										
456	0.823	0.772	0.740	0.810	0.759	0.816																																																																																										
457	0.822	0.771	0.739	0.809	0.759	0.815																																																																																										
458	0.821	0.770	0.738	0.808	0.758	0.814																																																																																										
459	0.820	0.769	0.737	0.807	0.757	0.813																																																																																										
460	0.819	0.769	0.737	0.806	0.756	0.812																																																																																										
461	0.818	0.768	0.736	0.806	0.756	0.811																																																																																										
462	0.817	0.767	0.735	0.805	0.755	0.811																																																																																										
463	0.817	0.766	0.735	0.804	0.754	0.810																																																																																										
464	0.816	0.765	0.734	0.803	0.754	0.809																																																																																										
465	0.815	0.765	0.733	0.803	0.753	0.808																																																																																										
466	0.814	0.764	0.732	0.802	0.752	0.808																																																																																										
467	0.813	0.763	0.732	0.801	0.752	0.807																																																																																										
468	0.812	0.763	0.732	0.801	0.752	0.807																																																																																										
469	0.812	0.762	0.731	0.800	0.751	0.806																																																																																										
470	0.811	0.762	0.731	0.800	0.751	0.806																																																																																										
