

软件版本	3.11.19



实验文件路径:	C:\Users\inlab\Desktop\AuNSs400-800.xpt
方案文件路径:	



板编号	板 3
日期	2023/6/29
时间	9:22:19
检测仪类型:	Epoch 2
检测仪序列号:	2205170B
检测类型	检测仪

程序详细信息

板类型	96 WELL PLATE
完成后弹出板	
检测	吸收光 光谱
	A1..A6
	开始: 400 nm,  停止: 800 nm,  步骤: 1 nm
	检测前校准
	检测速度: 正常,  延迟: 100 msec,  测量值/数据点: 8

Spectrum

波长	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10	A11	A12	B1	B2	B3	B4	B5	B6	B7	B8	B9	B10	B11	B12	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	D1	D2	D3	D4	D5	D6	D7	D8	D9	D10	D11	D12	E1	E2	E3	E4	E5	E6	E7	E8	E9	E10	E11	E12	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10	F11	F12	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	H1	H2	H3	H4	H5	H6	H7	H8	H9	H10	H11	H12
483	1.010	0.923	0.961	0.488	0.669	0.137																																																																																										
484	1.015	0.928	0.965	0.490	0.672	0.137																																																																																										
485	1.019	0.932	0.970	0.493	0.676	0.137																																																																																										
486	1.025	0.937	0.976	0.495	0.679	0.137																																																																																										
487	1.033	0.945	0.984	0.499	0.684	0.137																																																																																										
488	1.041	0.953	0.991	0.502	0.690	0.137																																																																																										
489	1.049	0.961	0.999	0.506	0.695	0.138																																																																																										
490	1.059	0.970	1.009	0.510	0.701	0.138																																																																																										
491	1.071	0.982	1.020	0.516	0.709	0.138																																																																																										
492	1.081	0.992	1.030	0.521	0.716	0.138																																																																																										
493	1.092	1.002	1.040	0.526	0.722	0.138																																																																																										
494	1.104	1.013	1.053	0.531	0.730	0.138																																																																																										
495	1.121	1.029	1.069	0.539	0.741	0.138																																																																																										
496	1.136	1.044	1.083	0.545	0.750	0.138																																																																																										
497	1.154	1.061	1.100	0.553	0.761	0.139																																																																																										
498	1.171	1.077	1.116	0.561	0.772	0.139																																																																																										
499	1.186	1.091	1.132	0.568	0.781	0.139																																																																																										
500	1.205	1.110	1.150	0.576	0.793	0.139																																																																																										
501	1.225	1.129	1.169	0.585	0.806	0.140																																																																																										
502	1.248	1.150	1.190	0.595	0.819	0.140																																																																																										
503	1.270	1.170	1.211	0.604	0.833	0.140																																																																																										
504	1.296	1.195	1.236	0.616	0.849	0.141																																																																																										
505	1.316	1.214	1.256	0.625	0.861	0.141																																																																																										
506	1.342	1.240	1.281	0.636	0.877	0.141																																																																																										
507	1.368	1.264	1.305	0.647	0.892	0.142																																																																																										
508	1.397	1.291	1.333	0.659	0.909	0.142																																																																																										
509	1.426	1.319	1.360	0.671	0.926	0.143																																																																																										
510	1.457	1.347	1.390	0.684	0.944	0.143																																																																																										
511	1.488	1.375	1.418	0.696	0.961	0.143																																																																																										
512	1.520	1.406	1.448	0.709	0.979	0.144																																																																																										
513	1.549	1.434	1.478	0.721	0.996	0.144																																																																																										
514	1.581	1.463	1.508	0.733	1.013	0.145																																																																																										
515	1.606	1.487	1.531	0.743	1.026	0.145																																																																																										
516	1.640	1.518	1.563	0.756	1.044	0.146																																																																																										
517	1.676	1.552	1.597	0.769	1.063	0.146																																																																																										
518	1.707	1.581	1.626	0.780	1.078	0.147																																																																																										
519	1.738	1.610	1.655	0.791	1.094	0.147																																																																																										
520	1.766	1.636	1.681	0.801	1.107	0.148																																																																																										
521	1.797	1.663	1.710	0.811	1.122	0.148																																																																																										
522	1.829	1.692	1.740	0.822	1.136	0.149																																																																																										
523	1.863	1.724	1.771	0.832	1.151	0.149																																																																																										
524	1.895	1.752	1.801	0.842	1.163	0.149																																																																																										
525	1.922	1.777	1.827	0.850	1.174	0.150																																																																																										
526	1.952	1.803	1.854	0.858	1.185	0.150																																																																																										
527	1.978	1.827	1.879	0.865	1.195	0.151																																																																																										
528	2.002	1.848	1.901	0.871	1.203	0.151																																																																																										
529	2.021	1.864	1.919	0.876	1.209	0.152																																																																																										
530	2.038	1.879	1.935	0.880	1.215	0.152																																																																																										
531	2.056	1.894	1.952	0.883	1.219	0.152																																																																																										
