

软件版本	3.11.19



实验文件路径:	C:\Users\inlab\Desktop\AuNSs400-800.xpt
方案文件路径:	



板编号	板 10
日期	2023/9/22
时间	10:26:52
检测仪类型:	Epoch 2
检测仪序列号:	2205170B
检测类型	检测仪

程序详细信息

板类型	96 WELL PLATE
完成后弹出板	
检测	吸收光 光谱
	A1..A6
	开始: 400 nm,  停止: 800 nm,  步骤: 1 nm
	检测前校准
	检测速度: 正常,  延迟: 100 msec,  测量值/数据点: 8

Spectrum

波长	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10	A11	A12	B1	B2	B3	B4	B5	B6	B7	B8	B9	B10	B11	B12	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	D1	D2	D3	D4	D5	D6	D7	D8	D9	D10	D11	D12	E1	E2	E3	E4	E5	E6	E7	E8	E9	E10	E11	E12	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10	F11	F12	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	H1	H2	H3	H4	H5	H6	H7	H8	H9	H10	H11	H12
400	0.332	0.347	0.383	0.459	0.482	0.487																																																																																										
401	0.331	0.346	0.382	0.458	0.481	0.486																																																																																										
402	0.330	0.346	0.381	0.456	0.480	0.484																																																																																										
403	0.330	0.345	0.380	0.455	0.479	0.483																																																																																										
404	0.329	0.344	0.379	0.454	0.478	0.482																																																																																										
405	0.328	0.344	0.379	0.453	0.478	0.482																																																																																										
406	0.327	0.343	0.378	0.452	0.477	0.480																																																																																										
407	0.327	0.342	0.377	0.452	0.476	0.480																																																																																										
408	0.326	0.342	0.377	0.451	0.475	0.479																																																																																										
409	0.326	0.341	0.376	0.450	0.474	0.478																																																																																										
410	0.325	0.340	0.375	0.449	0.473	0.477																																																																																										
411	0.324	0.340	0.374	0.448	0.472	0.476																																																																																										
412	0.323	0.339	0.374	0.447	0.472	0.475																																																																																										
413	0.323	0.338	0.373	0.446	0.471	0.474																																																																																										
414	0.323	0.338	0.372	0.446	0.470	0.473																																																																																										
415	0.322	0.337	0.372	0.445	0.469	0.472																																																																																										
416	0.321	0.336	0.371	0.444	0.468	0.471																																																																																										
417	0.321	0.336	0.370	0.443	0.468	0.470																																																																																										
418	0.320	0.335	0.370	0.442	0.467	0.470																																																																																										
419	0.320	0.335	0.369	0.442	0.466	0.469																																																																																										
420	0.320	0.334	0.369	0.441	0.465	0.468																																																																																										
421	0.319	0.334	0.368	0.441	0.465	0.468																																																																																										
422	0.319	0.333	0.368	0.440	0.464	0.467																																																																																										
423	0.318	0.333	0.367	0.439	0.464	0.466																																																																																										
424	0.318	0.332	0.367	0.439	0.463	0.465																																																																																										
