

软件版本	3.11.19



实验文件路径:	C:\Users\inlab\Desktop\AuNSs400-800.xpt
方案文件路径:	



板编号	板 2
日期	2023/6/28
时间	11:09:56
检测仪类型:	Epoch 2
检测仪序列号:	2205170B
检测类型	检测仪

程序详细信息

板类型	96 WELL PLATE
完成后弹出板	
检测	吸收光 光谱
	A1..A6
	开始: 400 nm,  停止: 800 nm,  步骤: 1 nm
	检测前校准
	检测速度: 正常,  延迟: 100 msec,  测量值/数据点: 8

Spectrum

波长	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10	A11	A12	B1	B2	B3	B4	B5	B6	B7	B8	B9	B10	B11	B12	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	D1	D2	D3	D4	D5	D6	D7	D8	D9	D10	D11	D12	E1	E2	E3	E4	E5	E6	E7	E8	E9	E10	E11	E12	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10	F11	F12	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	H1	H2	H3	H4	H5	H6	H7	H8	H9	H10	H11	H12
400	0.398	0.393	0.352	0.359	0.415	0.431																																																																																										
401	0.397	0.392	0.351	0.358	0.414	0.430																																																																																										
402	0.396	0.391	0.350	0.357	0.413	0.429																																																																																										
403	0.395	0.390	0.350	0.356	0.412	0.428																																																																																										
404	0.394	0.390	0.349	0.356	0.411	0.427																																																																																										
405	0.394	0.389	0.348	0.355	0.411	0.426																																																																																										
406	0.393	0.388	0.348	0.354	0.410	0.425																																																																																										
407	0.392	0.388	0.347	0.354	0.409	0.425																																																																																										
408	0.391	0.387	0.347	0.353	0.409	0.424																																																																																										
409	0.391	0.386	0.346	0.352	0.408	0.423																																																																																										
410	0.390	0.385	0.346	0.352	0.407	0.422																																																																																										
411	0.389	0.385	0.345	0.351	0.407	0.421																																																																																										
412	0.389	0.384	0.345	0.350	0.406	0.421																																																																																										
413	0.388	0.383	0.344	0.350	0.405	0.420																																																																																										
414	0.387	0.383	0.344	0.349	0.405	0.419																																																																																										
415	0.387	0.382	0.344	0.349	0.404	0.418																																																																																										
416	0.386	0.381	0.343	0.348	0.403	0.418																																																																																										
417	0.385	0.381	0.343	0.347	0.403	0.417																																																																																										
418	0.385	0.380	0.342	0.347	0.402	0.416																																																																																										
419	0.384	0.379	0.342	0.346	0.401	0.416																																																																																										
420	0.384	0.379	0.341	0.346	0.401	0.415																																																																																										
421	0.383	0.379	0.341	0.345	0.400	0.415																																																																																										
422	0.383	0.378	0.341	0.345	0.400	0.414																																																																																										
423	0.383	0.378	0.340	0.345	0.399	0.414																																																																																										
424	0.382	0.377	0.340	0.344	0.399	0.414																																																																																										
425	0.382	0.377	0.340	0.344	0.399	0.413																																																																																										
426	0.381	0.376	0.339	0.343	0.398	0.413																																																																																										
427	0.381	0.376	0.339	0.343	0.398	0.412																																																																																										
428	0.380	0.375	0.339	0.343	0.397	0.412																																																																																										
429	0.380	0.375	0.339	0.342	0.397	0.412																																																																																										
430	0.380	0.374	0.338	0.342	0.396	0.411																																																																																										
431	0.379	0.374	0.338	0.342	0.396	0.411																																																																																										
432	0.379	0.374	0.337	0.341	0.395	0.410																																																																																										
433	0.378	0.373	0.337	0.341	0.395	0.410																																																																																										
434	0.378	0.373	0.337	0.341	0.395	0.409																																																																																										
435	0.378	0.373	0.336	0.340	0.394	0.409																																																																																										
436	0.377	0.372	0.336	0.340	0.394	0.409																																																																																										
437	0.377	0.372	0.336	0.340	0.394	0.408																																																																																										
438	0.377	0.372	0.335	0.339	0.393	0.408																																																																																										
439	0.376	0.371	0.335	0.339	0.393	0.408																																																																																										
440	0.376	0.371	0.335	0.339	0.393	0.407																																																																																										
441	0.376	0.371	0.335	0.339	0.393	0.407																																																																																										
442	0.376	0.371	0.334	0.339	0.393	0.407																																																																																										
443	0.376	0.371	0.334	0.338	0.392	0.407																																																																																										
444	0.375	0.370	0.334	0.338	0.392	0.407																																																																																										
445	0.375	0.370	0.334	0.338	0.392	0.406																																																																																										
446	0.375	0.370	0.334	0.338	0.392	0.406																																																																																										
447	0.375	0.370	0.334	0.338	0.392	0.406																																																																																										
448	0.375	0.370	0.334	0.338	0.392	0.406																																																																																										
449	0.375	0.370	0.334	0.338	0.392	0.406																																																																																										
450	0.375	0.370	0.334	0.338	0.392	0.406																																																																																										
451	0.375	0.370	0.334	0.338	0.392	0.407																																																																																										
452	0.375	0.370	0.334	0.338	0.392	0.407																																																																																										
453	0.376	0.371	0.334	0.338	0.392	0.407																																																																																										
454	0.376	0.371	0.334	0.338	0.393	0.407																																																																																										
455	0.376	0.371	0.334	0.338	0.393	0.407																																																																																										
456	0.376	0.371	0.334	0.338	0.393	0.408																																																																																										
457	0.377	0.372	0.334	0.339	0.393	0.408																																																																																										
458	0.377	0.372	0.334	0.339	0.393	0.408																																																																																										
459	0.377	0.372	0.335	0.339	0.394	0.409																																																																																										
460	0.378	0.373	0.335	0.340	0.394	0.409																																																																																										
461	0.378	0.373	0.335	0.340	0.395	0.410																																																																																										
462	0.379	0.374	0.336	0.341	0.396	0.410																																																																																										
463	0.379	0.374	0.336	0.341	0.396	0.411																																																																																										
464	0.380	0.375	0.336	0.341	0.396	0.412																																																																																										
465	0.381	0.376	0.337	0.342	0.397	0.412																																																																																										
466	0.381	0.377	0.337	0.343	0.398	0.413																																																																																										
467	0.382	0.378	0.338	0.343	0.399	0.414																																																																																										
